county,total_sales_dollars,income,population,dollars_per_capita
Adair,232772,31506,7330,31.756070941336972
Adams,179649,29880,3822,47.00392464678179
Allamakee,798742,28718,14001,57.04892507678023
Appanoose,765877,27485,12602,60.77424218378035
Audubon,160752,27310,5793,27.749352667011912
Benton,696284,34563,25720,27.071695178849144
Black Hawk,15289449,27979,132821,115.11318993231492
Boone,1372573,31885,26411,51.969747453712465
Bremer,1744670,31932,24663,70.74038032680534
Buchanan,1006200,32409,21031,47.843659359992394
Buena Vista,1689710,26127,20445,82.64661286378087
Butler,260473,31209,14933,17.442777740574567
Calhoun,334029,26420,9876,33.8222964763062
Carroll,2226799,31332,20555,108.33369009973242
Cass,1092749,27884,13433,81.3480979676915
Cedar,481756,34919,18389,26.19805318396868
Cerro Gordo,5482244,28930,43303,126.6019444380297
Cherokee,712192,30507,11752,60.60176991150443
Chickasaw,360961,31574,12164,29.674531404143373
Clarke,566066,30181,9273,61.04453790574787
Clay,1456962,30109,16478,88.41861876441315
Clayton,576582,29261,17735,32.510967014378345
Clinton,3279409,30652,47972,68.36089802384724
Crawford,1220706,28789,17147,71.19064559398146
Dallas,2183590,43120,78074,27.96820964725773
Davis,93510,28739,8768,10.664917883211679
Decatur,165379,20577,8210,20.143605359317906
Delaware,886051,31331,17445,50.791114932645456
Des Moines,3411903,26580,40114,85.05516777185022
Dickinson,3764208,31194,17046,220.82646955297432
Dubuque,8095940,30044,96359,84.01851409831983
Emmet,609251,26767,9820,62.0418533604888
Fayette,1119298,26288,20391,54.89176597518513
Floyd,1090852,27429,16004,68.1612096975756
Franklin,485078,30289,10393,46.67353026075243
Fremont,25053,32643,7019,3.5693118677874343
Greene,400358,26795,9083,44.07772762303204
Grundy,295815,36396,12373,23.90810636062394
Guthrie,450151,31155,10691,42.10560284351323
Hamilton,806193,32408,15227,52.94496617849872
Hancock,279327,31848,11006,25.37952026167545
Hardin,1265672,30218,17324,73.05887785730778
Harrison,454700,32019,14335,31.719567492152077
Henry,1029259,29894,19941,51.61521488390753
Howard,747407,29845,9430,79.25843054082715
Humboldt,624225,30527,9607,64.97605912355574
Ida,475534,29776,7041,67.53784973725323
Iowa,595007,31660,16326,36.44536322430479
Jackson,1143777,30949,19529,58.568129448512465
Jasper,1729328,30841,36715,47.1014026964456
Jefferson,806978,25128,17662,45.69006907484996
Johnson,16251212,28190,142006,114.44031942312297
Jones,1085257,31388,20481,52.98847712514037
Keokuk,138369,30379,10234,13.520519835841313
Kossuth,1538518,30793,15226,101.04544857480626
Lee,3276570,27804,35172,93.15847833503923
Linn,23211745,34878,218076,106.43878739522002
Louisa,226006,30488,11251,20.0876366545196
Lucas,369919,29072,8700,42.51942528735632
Lyon,673442,32119,11730,57.411935208866154
Madison,650829,36293,15661,41.5573079624545
Mahaska,1199822,30435,22324,53.74583407991399
Marion,1869599,30916,33197,56.318311895653224
Marshall,2850819,30035,40735,69.98450963544863
Mills,441150,35694,14841,29.725085910652922
Mitchell,408060,30757,10757,37.93436831830436
Monona,515734,26740,9013,57.22112504160657
Monroe,295811,31789,7964,37.143520843797084
Montgomery,589926,26750,10380,56.832947976878614
Muscatine,2867649,31151,42949,66.7687024144916
Osceola,233323,26997,6154,37.91403964900878
Page,1145396,29172,15552,73.6494341563786
Palo Alto,734665,29352,9155,80.24740578918623
Plymouth,1520478,34581,24972,60.88731379144642
Pocahontas,329097,30786,7061,46.60770429117689
Polk,61059636,35121,459159,132.9814639373289
Pottawattamie,9366065,31657,93198,100.49641623210799
Poweshiek,1311599,24258,18622,70.43276769412523
Ringgold,139272,27585,5054,27.55678670360111
Sac,528490,30292,10034,52.66992226430138
Scott,19303451,32582,171116,112.80915285537296
Shelby,741809,28962,11944,62.10725050234427
Sioux,1418384,28100,34621,40.96889171312209
Story,8105026,18959,94834,85.46540270367169
Tama,622690,31113,17423,35.73953968891695
Taylor,104845,30590,6209,16.885971976163635
Union,919088,27422,12539,73.29834915064997
Van Buren,183392,29712,7380,24.849864498644987
Wapello,2414266,27318,35242,68.50536291924408
Warren,2072032,36543,48170,43.01498858210505
Washington,1427991,31092,22115,64.57115080262265
Wayne,104422,26887,6403,16.308292987662032
Webster,3416914,25615,37050,92.22439946018893
Winnebago,688511,28874,10580,65.0766540642722
Winneshiek,1303940,26460,20789,62.72259367934966
Woodbury,9147132,27239,102426,89.30478589420655
Worth,218453,28517,7562,28.888257074847925
Wright,684151,30756,12891,53.07198820882786
